country,country_code,year,region,rank_stat_ind,stat_ind,rank_dem_stat,dem_stat,stateness,monopoly,identity,no_dogmas,admin,pol_part,elect,power,assembly,express,ruleoflaw,separation,judiciary,prosecution,civ_rights,stab_dem,perf_dem,com_dem,integ,party_sys,int_group,approv_dem,soc_cap,rank_econ_stat,econ_stat,level_development,barriers,market,compet,anti_monop,for_trade,bank,stab_econ,infl,macro_stab,priv_prop,prop_rights,priv_ent,welfare,safety_nets,equal,perf_econ,output,sustain,envir,edu,rank_gov_ind,gov_ind,level_diff,constr,civil_trad,conflict_intens,GNI,UN_edu,state_rol,gov_perf,steering,priority,implement,learning,efficiency,assets,coord,anti_corrupt,consens,goals,veto,cleavage,civil_part,recon,int_coop,use_support,cred,reg_coop,trend_dem,trend_econ,trend_gov,core_stateness,state_failure,pol_sys,cat_stat_ind,cat_dem_stat,cat_trend_dem,cat_econ_stat,cat_trend_econ,cat_gov_ind,cat_trend_gov,cat_level_diff,stateness_cat,pol_part_cat,ruleoflaw_cat,stab_dem_cat,integ_cat,level_development_cat,market_cat,stab_econ_cat,priv_prop_cat,welfare_cat,perf_econ_cat,sustain_cat,level_diff_cat,steering_cat,efficiency_cat,consens_cat,int_coop_cat
"Albania","ALB",2012,"East-Central and Southeast Europe",31,7.017857,34,7.25,8.75,9,9,10,7,7.5,7,7,9,7,6,6,5,5,8,7.5,6,9,6.5,6,6,8,6,37,6.785714,6,6,7.5,6,7,10,7,8.5,9,8,7.5,7,8,6,6,6,7,7,5,5,5,50,5.4419059,4.6041667,6,8,2,5,3,3.625,6.183333,5.6666667,6,6,5,4.6666667,4,6,4,6.4,8,7,6,6,5,8,7,7,10,-.3,0,-.5,8,"Stable state","democracy","Advanced","Defective democracy","No significant changes","Functional flaws","No significant changes","Moderate","Deterioration","Moderate","Excellent","Sound","Fair","Sound","Sound","Fair","Sound","Excellent","Sound","Fair","Sound","Fair","Flawed","Fair","Fair","Fair","Sound"
"Albania","ALB",2014,"East-Central and Southeast Europe",38,6.546429,43,6.7,8.5,9,8,10,7,7,6,7,8,7,5,4,4,4,8,6.5,5,8,6.5,6,6,8,6,41,6.392857,5,5,7.75,6,8,10,7,8,9,7,7,7,7,6,6,6,6,6,5,5,5,57,5.1697068,4.5416667,6,7,3,5,2,4.25,5.883333,5.6666667,6,6,5,4.6666667,4,6,4,6.2,8,7,5,6,5,7,6,6,9,-.55,-.39,-.30000019,8,"Stable state","democracy","Limited","Defective democracy","Deterioration","Functional flaws","No significant changes","Moderate","No significant changes","Moderate","Excellent","Sound","Fair","Sound","Sound","Fair","Sound","Sound","Sound","Fair","Fair","Fair","Flawed","Fair","Fair","Fair","Sound"
"Albania","ALB",2016,"East-Central and Southeast Europe",33,6.707143,36,6.95,9,10,9,10,7,7.25,7,7,8,7,5,4,4,4,8,7,6,8,6.5,6,6,8,6,37,6.464286,5,5,8.25,7,8,10,8,7.5,8,7,7,7,7,6.5,7,6,6,6,5,5,5,38,5.7684568,4.8333333,6,7,3,5,4,4,6.516667,6.6666667,7,6,7,5.3333333,4,7,5,6.4,8,7,6,6,5,7.6666667,7,7,9,.25,.07,.63333368,8.5,"Stable state","democracy","Limited","Defective democracy","No significant changes","Functional flaws","No significant changes","Good","Improvement","Moderate","Excellent","Sound","Fair","Sound","Sound","Fair","Sound","Sound","Sound","Sound","Fair","Fair","Fair","Sound","Fair","Fair","Sound"
"Albania","ALB",2018,"East-Central and Southeast Europe",30,6.828571,34,7.05,9,10,9,10,7,7.5,7,7,9,7,5.25,4,5,4,8,7,6,8,6.5,6,6,8,6,34,6.607143,6,6,8.25,7,8,10,8,7.5,8,7,7,7,7,6.5,7,6,6,6,5,5,5,24,6.0242284,4.4791667,6,7,3,5,2,3.875,6.866667,7.3333333,8,7,7,5.6666667,5,7,5,6.8,8,7,6,7,6,7.6666667,7,7,9,.1,.14,.3499999,8.5,"Stable state","democracy","Limited","Defective democracy","No significant changes","Functional flaws","No significant changes","Good","No significant changes","Moderate","Excellent","Sound","Fair","Sound","Sound","Fair","Sound","Sound","Sound","Sound","Fair","Fair","Flawed","Sound","Fair","Sound","Sound"
"Algeria","DZA",2006,"Middle East and North Africa",85,4.420238,76,4.233333,7,7,8,7,6,4.25,5,2,5,5,4.25,4,4,4,5,2,2,2,3.6666667,3,4,,4,84,4.607143,4,4,3.25,3,3,5,2,7,6,8,4,5,3,3.5,5,2,7,7,3.5,3,4,92,3.6413002,6.3958333,6,7,7,7,6,5.375,3.966667,4.3333333,4,5,4,2.6666667,3,3,2,4.2,4,3,6,4,4,4.6666667,4,5,5,,,,6.5,"Stable state","autocracy","Very limited","Moderate autocracy",,"Poorly functioning",,"Weak",,"Moderate","Sound","Flawed","Flawed","Poor","Flawed","Flawed","Flawed","Sound","Flawed","Flawed","Sound","Flawed","Fair","Flawed","Flawed","Flawed","Fair"
"Algeria","DZA",2008,"Middle East and North Africa",83,4.722619,82,4.266667,6.75,6,8,7,6,4,4,2,5,5,4.25,4,4,4,5,2,2,2,4.3333333,4,5,,4,71,5.178571,5,5,4.25,4,4,6,3,7.5,7,8,5,6,4,4.5,5,4,6,6,4,4,4,97,3.8800926,6.0833333,7,6,7,6,5,5.5,4.25,4,4,4,4,3.6666667,3,4,4,4,4,3,3,4,6,5.3333333,5,6,5,.03,.57,.2833333,6,"Stable state","autocracy","Very limited","Moderate autocracy","No significant changes","Functional flaws","Improvement","Weak","No significant changes","Moderate","Sound","Flawed","Flawed","Poor","Flawed","Fair","Flawed","Sound","Fair","Fair","Fair","Flawed","Fair","Flawed","Flawed","Flawed","Fair"
"Algeria","DZA",2010,"Middle East and North Africa",83,4.861905,84,4.366667,7,7,8,6,7,4.25,4,2,5,6,4.25,4,4,4,5,2,2,2,4.3333333,4,5,,4,70,5.357143,5,5,4.5,4,4,6,4,6.5,6,7,5,6,4,5.5,6,5,7,7,4,4,4,102,3.9381173,5.8958333,6,6,7,6,5,5.375,4.333333,4,4,4,4,3.6666667,3,5,3,4,4,3,3,4,6,5.6666667,5,6,6,.1,.18,.08333349,7,"Stable state","autocracy","Very limited","Moderate autocracy","No significant changes","Functional flaws","No significant changes","Weak","No significant changes","Moderate","Sound","Flawed","Flawed","Poor","Flawed","Fair","Fair","Sound","Fair","Fair","Sound","Flawed","Fair","Flawed","Flawed","Flawed","Fair"
"Algeria","DZA",2012,"Middle East and North Africa",86,4.775,89,4.3,7,7,8,6,7,4.25,4,2,5,6,4.25,4,4,4,5,2,2,2,4,4,4,,4,72,5.25,5,5,3.75,3,3,5,4,6.5,6,7,4.5,5,4,5.5,6,5,7,7,4.5,5,4,97,4.0125772,5.7291667,7,6,7,5,4,5.375,4.433333,3.6666667,4,4,3,4.3333333,3,5,5,4.4,4,3,4,4,7,5.3333333,5,5,6,-.07,-.11,.0999999,7,"Stable state","autocracy","Very limited","Moderate autocracy","No significant changes","Functional flaws","No significant changes","Weak","No significant changes","Moderate","Sound","Flawed","Flawed","Poor","Flawed","Fair","Flawed","Sound","Fair","Fair","Sound","Fair","Fair","Flawed","Flawed","Flawed","Fair"
"Algeria","DZA",2014,"Middle East and North Africa",79,5.114285,79,4.8,7.25,7,8,6,8,5,6,2,6,6,4.25,4,4,4,5,2.5,3,2,5,4,6,,5,70,5.428571,5,5,4.5,4,4,6,4,7,6,8,4.5,5,4,5.5,6,5,7,7,4.5,5,4,77,4.5758333,5.375,7,5,7,5,3,5.25,5.1,4.6666667,5,5,4,4.6666667,4,5,5,5.4,5,4,6,5,7,5.6666667,5,6,6,.5,.18,.66666651,7.5,"Stable state","autocracy","Very limited","Moderate autocracy","Improvement","Functional flaws","No significant changes","Moderate","Improvement","Moderate","Sound","Fair","Flawed","Flawed","Fair","Fair","Fair","Sound","Fair","Fair","Sound","Fair","Fair","Fair","Fair","Fair","Fair"
"Algeria","DZA",2016,"Middle East and North Africa",77,5.114285,78,4.8,7.25,7,8,6,8,4.5,5,2,5,6,4.25,4,4,4,5,3,3,3,5,4,6,,5,70,5.428571,5,5,4.5,4,4,6,4,7,6,8,4.5,5,4,6,7,5,7,7,4,4,4,80,4.5046296,5.5416667,7,5,7,5,4,5.25,5,4.6666667,5,5,4,4.6666667,4,5,5,5,5,3,5,5,7,5.6666667,5,6,6,0,0,-.0999999,7.5,"Stable state","autocracy","Very limited","Moderate autocracy","No significant changes","Functional flaws","No significant changes","Moderate","No significant changes","Moderate","Sound","Fair","Flawed","Flawed","Fair","Fair","Fair","Sound","Fair","Fair","Sound","Flawed","Fair","Fair","Fair","Fair","Fair"
"Algeria","DZA",2018,"Middle East and North Africa",83,4.982143,79,4.75,7.5,8,8,6,8,4.5,5,2,5,6,4.25,4,4,4,5,2.5,3,2,5,4,6,,5,75,5.214286,5,5,4.5,4,4,6,4,6.5,6,7,4.5,5,4,5.5,6,5,6,6,4.5,5,4,76,4.5545833,5.1875,7,5,6,5,3,5.125,5.1,4.6666667,5,5,4,4.6666667,4,5,5,5.4,5,4,6,5,7,5.6666667,5,6,6,-.05,-.21,.0999999,8,"Stable state","autocracy","Very limited","Moderate autocracy","No significant changes","Functional flaws","No significant changes","Moderate","No significant changes","Moderate","Sound","Fair","Flawed","Flawed","Fair","Fair","Fair","Sound","Fair","Fair","Fair","Fair","Fair","Fair","Fair","Fair","Fair"
"Angola","AGO",2006,"South and East Africa",104,3.405952,97,3.383333,6.75,5,9,10,3,2.75,1,1,6,3,2.75,2,4,1,4,2,2,2,2.6666667,2,3,,3,106,3.428571,1,1,3,2,2,4,4,5.5,7,4,4,4,4,2,2,2,6,6,2.5,3,2,91,3.5606867,8.2083333,9,8,7,9,10,6.25,3.8,2.6666667,2,4,2,3.3333333,3,6,1,4.2,6,3,5,4,3,5,5,6,4,,,,4,"Stable state","autocracy","Failed or nonexistent","Hard-line autocracy",,"Poorly functioning",,"Weak",,"Substantial","Sound","Flawed","Flawed","Poor","Flawed","Poor","Flawed","Fair","Flawed","Poor","Fair","Flawed","Sound","Flawed","Flawed","Flawed","Fair"
"Angola","AGO",2008,"South and East Africa",105,3.822619,90,3.966667,7.25,6,9,10,4,3.5,1,2,6,5,2.75,3,2,3,3,2,2,2,4.3333333,3,5,,5,111,3.678571,2,2,3.25,3,2,3,5,6,5,7,4.5,4,5,2,2,2,6,6,2,2,2,108,3.1142593,6.8333333,7,8,3,8,9,6,3.35,2.6666667,2,3,3,2.6666667,2,4,2,3.4,3,3,3,5,3,4.6666667,3,5,6,.58,.25,-.44999981,5,"Stable state","autocracy","Failed or nonexistent","Hard-line autocracy","Improvement","Poorly functioning","No significant changes","Weak","No significant changes","Substantial","Sound","Flawed","Flawed","Poor","Flawed","Poor","Flawed","Fair","Fair","Poor","Fair","Poor","Sound","Flawed","Flawed","Flawed","Fair"
"Angola","AGO",2010,"South and East Africa",92,4.558333,78,4.866667,8,7,8,10,7,5,6,3,5,6,4,4,4,4,4,3,3,3,4.3333333,4,3,,6,100,4.25,2,2,3.75,3,2,5,5,6,6,6,4.5,4,5,3.5,3,4,7,7,3,3,3,97,4.0277778,6.6666667,7,8,4,7,9,5,4.35,4.3333333,4,5,4,3.3333333,3,5,2,4.4,5,5,5,4,3,5.3333333,5,5,6,.9,.57,.99999976,7,"Stable state","autocracy","Very limited","Moderate autocracy","Improvement","Poorly functioning","Improvement","Weak","Improvement","Substantial","Sound","Fair","Flawed","Flawed","Flawed","Poor","Flawed","Fair","Fair","Flawed","Sound","Flawed","Sound","Flawed","Flawed","Flawed","Fair"
"Angola","AGO",2012,"South and East Africa",83,4.92381,78,4.883333,8,8,8,10,6,5.25,6,3,6,6,3.5,3,4,3,4,3,3,3,4.6666667,4,4,,6,82,4.964286,3,3,4.25,3,3,5,6,7,7,7,4.5,4,5,5,4,6,7,7,4,4,4,89,4.1849383,6.5416667,7,7,4,6,10,5.25,4.533333,4,4,4,4,3.6666667,4,5,2,4.8,5,5,6,5,3,5.6666667,5,5,7,.02,.71,.1833334,7,"Stable state","autocracy","Very limited","Moderate autocracy","No significant changes","Poorly functioning","Improvement","Weak","No significant changes","Substantial","Sound","Fair","Flawed","Flawed","Fair","Flawed","Flawed","Sound","Fair","Fair","Sound","Flawed","Sound","Flawed","Flawed","Fair","Fair"
"Angola","AGO",2014,"South and East Africa",96,4.435715,84,4.55,7.25,8,8,9,4,4,4,3,4,5,3.5,3,3,3,5,3,3,3,5,6,4,,5,97,4.321429,2,2,3.75,4,2,5,4,7,7,7,4,4,4,3,2,4,7,7,3.5,3,4,98,3.9589429,6.2708333,6,8,4,6,8,5.625,4.316667,5,5,5,5,3.6666667,4,5,2,3.6,5,3,5,3,2,5,4,5,6,-.33,-.64,-.2166667,6,"Stable state","autocracy","Very limited","Moderate autocracy","No significant changes","Poorly functioning","Deterioration","Weak","No significant changes","Moderate","Sound","Flawed","Flawed","Flawed","Fair","Poor","Flawed","Sound","Flawed","Flawed","Sound","Flawed","Fair","Fair","Flawed","Flawed","Fair"
"Angola","AGO",2016,"South and East Africa",102,4.160714,86,4.25,7.25,8,8,9,4,3,3,2,3,4,3,3,3,2,4,3,3,3,5,5,5,,5,106,4.071429,2,2,3.5,4,2,4,4,6.5,7,6,4,4,4,3.5,3,4,6,6,3,3,3,106,3.612662,5.8125,6,7,4,5,7,5.875,3.983333,3.3333333,4,3,3,3,3,4,2,3.6,5,3,6,2,2,6,6,6,6,-.3,-.25,-.33333325,6,"Stable state","autocracy","Very limited","Moderate autocracy","No significant changes","Poorly functioning","No significant changes","Weak","No significant changes","Moderate","Sound","Flawed","Flawed","Flawed","Fair","Poor","Flawed","Sound","Flawed","Flawed","Fair","Flawed","Fair","Flawed","Flawed","Flawed","Fair"
"Angola","AGO",2018,"South and East Africa",105,3.939286,87,4.2,7.5,8,8,10,4,3,3,2,3,4,3,3,3,2,4,2.5,3,2,5,5,5,,5,108,3.678571,2,2,3.75,4,2,5,4,6,7,5,4,4,4,3,2,4,4,4,3,3,3,101,3.5960648,5.625,6,7,4,5,6,5.75,3.983333,3.6666667,4,4,3,3.3333333,3,5,2,3.6,6,3,6,2,1,5.3333333,5,6,5,-.05,-.39,0,6,"Stable state","autocracy","Failed or nonexistent","Moderate autocracy","No significant changes","Poorly functioning","No significant changes","Weak","No significant changes","Moderate","Sound","Flawed","Flawed","Flawed","Fair","Poor","Flawed","Fair","Flawed","Flawed","Flawed","Flawed","Fair","Flawed","Flawed","Flawed","Fair"
"Argentina","ARG",2006,"Latin America and the Caribbean",24,7.210714,24,7.85,8.75,8,10,10,7,9.5,10,10,10,8,6,6,6,5,7,8,7,9,7,7,7,8,6,35,6.571429,7,7,6.5,6,5,8,7,7,7,7,7.5,7,8,6,6,6,7,7,5,5,5,43,5.4566358,3.7708333,5,4,4,5,1,3.625,6.4,6,7,6,5,5.3333333,6,5,5,7.6,9,9,7,6,7,6.6666667,7,5,8,,,,7.5,"Stable state","democracy","Advanced","Defective democracy",,"Functional flaws",,"Moderate",,"Minor","Excellent","Excellent","Fair","Sound","Sound","Sound","Sound","Sound","Sound","Fair","Sound","Fair","Flawed","Fair","Fair","Sound","Sound"
"Argentina","ARG",2008,"Latin America and the Caribbean",26,7.335714,26,7.85,9,8,10,10,8,9.5,10,10,10,8,5.75,5,6,5,7,8,7,9,7,6,6,9,7,32,6.821429,7,7,6.25,6,5,7,7,6.5,7,6,7,7,7,6.5,6,7,9,9,5.5,5,6,35,5.9079861,3.4375,4,4,3,5,1,3.625,6.916667,6.6666667,7,7,6,6,6,7,5,8,9,9,8,6,8,7,7,6,8,0,.25,.51666641,8,"Stable state","democracy","Advanced","Defective democracy","No significant changes","Functional flaws","No significant changes","Good","Improvement","Minor","Excellent","Excellent","Fair","Sound","Sound","Sound","Fair","Sound","Sound","Sound","Excellent","Fair","Flawed","Sound","Fair","Sound","Sound"
"Argentina","ARG",2010,"Latin America and the Caribbean",28,7.253572,25,7.9,9,8,10,10,8,9.5,10,10,10,8,5.75,5,6,5,7,8,7,9,7.25,6,7,9,7,39,6.607143,7,7,6.25,6,5,7,7,6,6,6,7,7,7,6.5,6,7,8,8,5.5,5,6,52,5.556358,3.2708333,4,4,3,4,1,3.625,6.533333,5.6666667,6,6,5,5.6666667,6,6,5,7.8,9,9,7,6,8,7,7,6,8,.05,-.21,-.38333321,8,"Stable state","democracy","Advanced","Defective democracy","No significant changes","Functional flaws","No significant changes","Moderate","No significant changes","Minor","Excellent","Excellent","Fair","Sound","Sound","Sound","Fair","Fair","Sound","Sound","Sound","Fair","Flawed","Fair","Fair","Sound","Sound"
"Argentina","ARG",2012,"Latin America and the Caribbean",33,6.953571,31,7.55,9,8,10,10,8,8.75,9,8,10,8,5.75,5,6,5,7,7,6,8,7.25,6,7,9,7,44,6.357143,7,7,6,6,5,6,7,5.5,5,6,7,7,7,6.5,6,7,7,7,5.5,5,6,60,5.2815972,3.4375,4,4,4,4,1,3.625,6.183333,5.6666667,6,6,5,5.3333333,5,6,5,7.4,8,8,7,6,8,6.3333333,6,5,8,-.35,-.25,-.3499999,8,"Stable state","democracy","Limited","Defective democracy","No significant changes","Functional flaws","No significant changes","Moderate","No significant changes","Minor","Excellent","Excellent","Fair","Sound","Sound","Sound","Fair","Fair","Sound","Sound","Sound","Fair","Flawed","Fair","Fair","Sound","Fair"
"Argentina","ARG",2014,"Latin America and the Caribbean",34,6.757143,26,7.55,9,8,10,10,8,8.75,9,8,10,8,5.75,5,6,5,7,7,6,8,7.25,6,7,9,7,52,5.964286,7,7,5.25,6,5,4,6,5,4,6,6.5,6,7,6.5,6,7,6,6,5.5,5,6,62,5.0099923,3.1041667,4,4,4,2,1,3.625,5.916667,5.6666667,6,6,5,5,5,5,5,7,8,8,6,6,7,6,6,4,8,0,-.39,-.26666689,8,"Stable state","democracy","Limited","Defective democracy","No significant changes","Functional flaws","No significant changes","Moderate","No significant changes","Minor","Excellent","Excellent","Fair","Sound","Sound","Sound","Fair","Fair","Sound","Sound","Fair","Fair","Flawed","Fair","Fair","Sound","Fair"
"Argentina","ARG",2016,"Latin America and the Caribbean",34,6.65,28,7.55,9,8,10,10,8,8.75,9,8,10,8,5.75,5,6,5,7,7,6,8,7.25,6,7,9,7,64,5.75,7,7,5.25,5,5,5,6,4.5,4,5,6.5,6,7,6.5,6,7,5,5,5.5,5,6,71,4.7773148,2.9375,4,4,4,1,1,3.625,5.666667,5,6,5,4,4.6666667,5,5,4,7,8,8,6,6,7,6,6,4,8,0,-.21,-.25,8,"Stable state","democracy","Limited","Defective democracy","No significant changes","Functional flaws","No significant changes","Moderate","No significant changes","Minor","Excellent","Excellent","Fair","Sound","Sound","Sound","Fair","Fair","Sound","Sound","Fair","Fair","Flawed","Fair","Fair","Sound","Fair"
